metric,value,unit
common_isp_pct_of_total,67.28,% of total
role_based_per_1000,13.68,"per 1,000 verified"
disposable_per_1000,2.75,"per 1,000 verified"
syntax_errors_per_1000,1.88,"per 1,000 verified"
spam_traps_per_million,7.66,"per 1,000,000 verified"
